model,state,CI,weather,calendar,level,precision,recall,f1,roc_auc,pr_auc
Transformer (CI_W_C),Maharashtra,True,True,True,window,0.5975609756097561,0.9245283018867925,0.725925925925926,0.6098779134295228,0.7795708645050105
Transformer (CI_W_C),Maharashtra,True,True,True,t+4,0.6333333333333333,0.48717948717948717,0.5507246376811594,0.7099358974358975,0.616876536302636
Transformer (CI_W_C),Maharashtra,True,True,True,t+5,0.5348837209302325,0.6052631578947368,0.5679012345679012,0.5891514500537057,0.5008403573822744
Transformer (CI_W_C),Maharashtra,True,True,True,t+6,0.525,0.5526315789473685,0.5384615384615384,0.5644468313641247,0.490589206851744
Transformer (CM_W_C),Maharashtra,False,True,True,window,0.6888888888888889,0.5849056603773585,0.6326530612244898,0.658157602663707,0.7920085109205866
Transformer (CM_W_C),Maharashtra,False,True,True,t+4,0.8235294117647058,0.358974358974359,0.5,0.7622863247863247,0.7451800329458086
Transformer (CM_W_C),Maharashtra,False,True,True,t+5,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.7669172932330827,0.7509124080613115
Transformer (CM_W_C),Maharashtra,False,True,True,t+6,0.6956521739130435,0.42105263157894735,0.5245901639344263,0.758861439312567,0.7287860488562073
Transformer (CI_W_NC),Maharashtra,True,True,False,window,0.7164179104477612,0.9056603773584906,0.8,0.7785793562708102,0.8466018713418864
Transformer (CI_W_NC),Maharashtra,True,True,False,t+4,0.7391304347826086,0.4358974358974359,0.5483870967741935,0.7660256410256411,0.7535181841562224
Transformer (CI_W_NC),Maharashtra,True,True,False,t+5,0.5862068965517241,0.8947368421052632,0.7083333333333334,0.7121374865735768,0.5966090868670303
Transformer (CI_W_NC),Maharashtra,True,True,False,t+6,0.5625,0.7105263157894737,0.627906976744186,0.6224489795918365,0.4874715920439303
Transformer (CI_NW_C),Maharashtra,True,False,True,window,0.6333333333333333,0.7169811320754716,0.672566371681416,0.6154273029966704,0.76823121215214
Transformer (CI_NW_C),Maharashtra,True,False,True,t+4,0.5806451612903226,0.46153846153846156,0.5142857142857142,0.6506410256410257,0.6443328295156906
Transformer (CI_NW_C),Maharashtra,True,False,True,t+5,0.5666666666666667,0.4473684210526316,0.5,0.6831364124597208,0.5665236363193803
Transformer (CI_NW_C),Maharashtra,True,False,True,t+6,0.5128205128205128,0.5263157894736842,0.5194805194805194,0.6552094522019334,0.6143072752244364
Transformer (CI_NW_NC),Maharashtra,True,False,False,window,0.7142857142857143,0.8490566037735849,0.7758620689655172,0.5887902330743617,0.6161611241875792
Transformer (CI_NW_NC),Maharashtra,True,False,False,t+4,0.5757575757575758,0.48717948717948717,0.5277777777777778,0.6442307692307693,0.5415934289856811
Transformer (CI_NW_NC),Maharashtra,True,False,False,t+5,0.5,0.42105263157894735,0.45714285714285713,0.6143931256713211,0.48060559401704106
Transformer (CI_NW_NC),Maharashtra,True,False,False,t+6,0.41935483870967744,0.34210526315789475,0.37681159420289856,0.564983888292159,0.4402062958432147
Transformer (CI_W_C),Karnataka,True,True,True,window,0.058823529411764705,0.05555555555555555,0.05714285714285714,0.5088566827697263,0.20151374062594044
Transformer (CI_W_C),Karnataka,True,True,True,t+4,0.08333333333333333,0.125,0.1,0.7199367088607594,0.1635626000702217
Transformer (CI_W_C),Karnataka,True,True,True,t+5,0.18181818181818182,0.25,0.21052631578947367,0.6360759493670887,0.18498840439629913
Transformer (CI_W_C),Karnataka,True,True,True,t+6,0.07142857142857142,0.125,0.09090909090909091,0.7278481012658229,0.16487812160406676
Transformer (CM_W_C),Karnataka,False,True,True,window,0.11538461538461539,0.3333333333333333,0.17142857142857143,0.22946859903381642,0.13948929500032314
